flex_mnozstvi_+,flex_obchod_+,flex_cena_+,flex_mnozstvi_-,flex_obchod_-,flex_cena_-
30839.359,4935.498,0.01,-46837.121,-220.267,0.01
27463.079,5964.371,0.01,-51627.176,-347.844,0.01
28266.371,4362.847,0.01,-49568.227,-818.485,0.01
33763.189,4532.524,0.01,-44920.715,-865.246,0.01
23800.257,4721.001,0.01,-53924.658,-39.669,0.01
19262.588,7169.211,5.0,-60801.938,-164.326,0.01
22643.768,5063.499,0.01,-54877.512,-49.991,0.01
28349.21,3974.458,0.01,-48837.859,-376.554,0.01
35754.781,5525.842,1.0,-43379.069,-776.666,0.01
39887.734,4899.307,0.1,-37753.512,0.0,0.0
31398.699,4626.074,1.0,-47553.012,-58.136,0.01
33123.968,4773.714,0.01,-44368.507,-57.329,0.01
31294.345,5555.001,0.01,-48149.345,-254.674,0.01
40876.685,5019.161,0.01,-40759.822,-1834.642,0.01
43398.235,4009.98,0.01,-39595.102,-4852.508,0.01
39382.449,3708.94,0.01,-45191.42,-7999.775,0.01
49878.808,3550.0,0.01,-37718.17,-7759.193,0.01
45261.689,3728.673,0.01,-32441.8,-1230.677,0.01
35111.025,4282.027,0.01,-43784.687,-1481.812,0.01
35947.936,3906.619,0.01,-45100.009,-4146.8,0.01
41334.223,4073.657,0.01,-42628.42,-6062.72,0.01
45593.709,3745.47,0.01,-37506.173,-2544.442,0.01
45960.739,3912.398,0.01,-32588.587,0.0,0.0
47334.83,3509.478,0.01,-28788.025,-18.449,0.01
48881.516,3358.745,0.01,-27094.505,-68.642,0.01
43933.219,3124.371,0.01,-32557.78,-648.483,0.01
38558.973,2891.602,0.01,-38557.686,-1286.101,0.01
40494.765,2700.0,0.01,-36425.338,-592.053,0.01
41546.564,3040.621,0.01,-34443.44,-69.225,0.01
36126.364,3130.644,0.01,-42051.094,0.0,0.0
41719.945,3620.144,0.01,-34504.657,0.0,0.0
47522.963,2600.0,0.01,-29871.359,-2201.744,0.01
43248.006,3002.835,0.01,-33814.814,-1420.174,0.01
42070.372,2829.93,0.01,-35456.982,-1447.058,0.01
54288.507,2502.3,0.01,-27092.822,-3025.8,0.01
61702.082,2300.0,0.01,-24327.931,-8084.046,0.01
67058.144,2176.0,0.01,-22719.754,-10098.933,5.0
52855.837,2100.0,0.01,-30424.866,-4850.427,0.01
42359.975,3111.527,0.01,-35915.823,-25.615,0.01
28077.065,4378.792,0.01,-49213.821,-142.792,0.01
19856.987,3837.894,0.01,-57446.616,-306.505,0.01
24943.972,2573.323,0.01,-53555.483,-1091.247,0.01
31585.208,1819.0,0.01,-47879.456,-1671.954,0.01
32242.714,2233.125,0.01,-45586.608,-545.61,0.01
36836.141,3170.211,0.01,-44155.029,-2933.596,0.01
33101.539,2542.494,0.01,-46034.097,-1021.419,0.01
24136.559,2238.044,0.01,-53353.389,-295.176,0.01
20162.878,4961.407,0.01,-60053.46,-78.294,0.01
22876.947,4172.647,0.01,-56540.166,0.0,0.0
40030.718,1522.204,0.01,-39094.974,-1673.092,0.01
42125.756,2851.38,0.01,-38580.868,-1790.591,0.01
35533.271,4084.347,0.01,-44886.048,-1029.652,0.01
33847.982,3080.547,0.01,-45504.75,-1026.483,0.01
21245.075,1783.88,0.01,-55643.83,-62.972,0.01
16901.536,4250.511,0.01,-62243.578,-93.184,0.01
27839.772,2012.514,0.01,-53187.77,-1301.218,0.01
44224.163,1153.0,0.01,-39321.286,-6648.293,1.0
47551.466,1291.028,0.01,-33320.914,-4016.911,0.01
50093.196,1362.26,0.01,-27749.742,-706.173,0.01
49221.509,1527.866,0.01,-29427.497,-281.324,0.01
47713.131,1940.0,0.01,-31028.366,-2672.561,0.01
34815.392,3121.686,1.0,-43328.066,0.0,0.0
38719.205,2804.144,0.01,-41209.687,-468.392,0.01
49838.119,2207.89,0.01,-28660.33,-549.856,0.01
52759.423,2361.999,0.01,-27037.095,-1716.406,0.01
45800.843,1169.0,0.01,-32830.831,-1399.394,0.01
45078.393,4877.424,0.01,-35158.504,-574.872,0.01
36067.873,4913.63,0.1,-44143.08,-461.48,0.01
26483.625,5734.703,1.0,-55959.52,-1123.493,0.01
24956.617,5917.452,0.01,-59024.828,-2084.284,0.01
32204.475,2733.233,0.01,-47751.51,-1489.378,0.01
36036.813,2969.532,0.01,-43705.488,-507.739,0.01
44804.03,3842.982,0.01,-35400.932,-1314.555,0.01
41273.701,1823.339,0.01,-37197.217,-825.423,0.01
33850.789,2621.171,0.01,-44905.393,-1022.803,0.01
22406.62,6201.457,1.0,-59403.479,-174.67,0.01
27605.022,2424.699,0.01,-50874.606,-776.352,0.01
31473.407,3075.709,0.01,-49115.015,-443.51,0.01
44261.965,3037.12,0.01,-43783.035,-9599.803,0.01
51827.684,2124.0,0.01,-33902.042,-8093.625,0.01
53247.922,2593.938,0.01,-29181.53,-4270.105,0.01
35365.955,2949.561,0.01,-46021.613,-2592.933,0.01
26526.583,4286.533,0.01,-55316.902,-1720.496,0.01
40337.261,5055.278,0.01,-43959.177,-1886.92,0.01
47906.043,3869.236,0.01,-35587.359,-3959.308,0.01
60085.047,2461.0,0.01,-29272.761,-9969.666,1.0
62771.924,2492.0,0.01,-25580.215,-9408.821,1.0
60096.38,2650.0,0.01,-28290.629,-8525.855,0.01
45860.448,2823.123,0.01,-36371.756,-3913.235,0.01
41683.47,2696.076,0.01,-39736.206,-5471.222,0.01
40203.544,3384.465,0.01,-38741.564,-2.107,0.01
41975.429,4099.74,0.01,-38416.898,-678.336,0.01
50755.193,2871.0,0.01,-29919.576,-2094.87,0.01
45352.714,3687.116,0.01,-35333.739,-1592.665,0.01
43737.306,5128.395,0.01,-38331.504,-1546.191,0.01
32951.559,5083.099,0.01,-48714.182,-1105.903,0.01
33618.401,7280.255,0.01,-49968.676,-904.357,0.01
39148.072,4656.215,0.01,-43228.119,-1448.761,0.01
59850.505,3611.887,0.01,-25573.409,-6332.99,0.01
66479.11,3591.0,0.01,-23210.832,-10462.326,0.49
49610.793,3823.717,0.01,-32877.347,-3135.691,0.01
45181.625,4235.725,0.01,-36402.951,-1796.444,0.01
30748.759,4366.969,0.01,-49595.744,-289.6,0.01
22067.443,6080.724,0.01,-59515.83,-13.643,0.01
35584.714,4720.647,0.01,-46976.592,-2268.091,0.01
41011.135,5162.964,0.01,-42623.272,-2905.549,0.01
44555.723,5379.862,0.01,-38782.609,-2256.634,0.01
54589.73,6425.672,0.01,-33733.425,-5944.176,0.01
39530.222,5793.464,0.01,-44447.721,-2803.7,0.01
20787.566,8854.469,0.99,-61789.948,-778.972,0.01
17945.441,10098.679,3.0,-66632.489,0.0,0.0
30471.969,8378.175,0.01,-53369.863,-18.578,0.01
38406.618,9892.656,0.01,-48444.597,-1636.977,0.01
38847.88,8060.942,0.01,-43069.567,-899.942,0.01
47926.87,5983.353,0.01,-35745.118,-1629.112,0.01
46595.734,7740.388,0.01,-35502.941,-1382.51,0.01
27446.039,11327.312,0.01,-57742.713,-89.846,0.01
17555.992,12921.645,5.0,-69744.029,-119.529,0.01
25022.238,11241.915,1.0,-60441.886,-1326.942,0.01
45889.498,6577.38,0.01,-37419.352,-2583.493,0.01
56289.751,7326.552,0.01,-29161.509,-2802.052,0.01
71641.904,7268.698,0.01,-20430.8,-16326.322,5.0
65027.413,6619.548,0.01,-21772.998,-7121.989,0.01
58441.716,6892.66,0.01,-24590.456,-2970.879,0.01
53961.105,7892.47,0.01,-34035.31,-4086.948,0.01
76217.02,6979.448,0.01,-19533.884,-11992.178,2.99
64019.901,6474.0,0.01,-25654.099,-3857.719,0.01
55779.097,6336.0,0.01,-28365.629,-2298.637,0.01
53303.939,7708.238,0.01,-31822.1,-2039.984,0.01
42297.973,6200.0,0.01,-40522.103,-1092.27,0.01
38557.85,6150.0,0.01,-41593.659,-952.057,0.01
33665.273,9286.997,1.0,-49297.637,-25.592,0.01
32237.834,7573.573,1.0,-51167.353,0.0,0.0
47395.328,6086.896,0.01,-36177.983,-2146.953,0.01
48381.738,6188.106,0.01,-36807.429,-5965.039,0.01
34757.475,7019.6,0.01,-51407.04,-4036.109,0.01
29699.74,6050.0,1.0,-53552.914,-1835.304,0.01
41581.689,8633.645,3.0,-43981.908,-2352.085,0.01
30830.717,8466.488,3.0,-53403.251,-1353.832,0.01
31292.556,9260.11,25.0,-53750.973,-476.028,0.01
35191.934,11027.058,3.9,-49164.016,0.0,0.0
33164.9,8891.23,1.0,-50082.997,-680.897,0.01
36915.421,4874.565,0.01,-42212.467,-294.736,0.01
38670.259,5113.532,0.1,-39918.366,-76.976,0.01
24912.804,5877.254,1.0,-55874.629,-1673.831,0.01
32389.331,5528.681,0.01,-50596.371,-4197.298,0.01
46103.297,5144.115,0.01,-42227.81,-5449.585,0.01
